lat,lon,population
-33.49,-70.55,9470.511297791916
-33.49,-70.54,3591.7266847478018
-33.48,-70.77,3382.9899068307545
-33.48,-70.75,14692.269365427028
-33.48,-70.73,24874.365512868673
-33.48,-70.71,11009.356335666494
-33.48,-70.69,7291.6100399525785
-33.48,-70.68,18128.020793978943
-33.48,-70.66,11765.584900341451
-33.48,-70.65,10696.699725848248
-33.48,-70.64,7929.761639292466
-33.48,-70.63,5764.109120405942
-33.48,-70.62,3366.810295520536
-33.48,-70.61,7121.676791031264
-33.48,-70.6,7779.685605434618
-33.48,-70.59,11677.23171478421
-33.48,-70.58,22708.27052884338
-33.48,-70.56,32008.09241397069
-33.48,-70.54,11415.163246463162
-33.48,-70.53,16455.518575216007
-33.48,-70.52,4494.554794128435
-33.47,-70.76,14537.448764563407
-33.47,-70.75,21076.69541037414
-33.47,-70.74,19944.246769373676
-33.47,-70.73,10166.87405798561
-33.47,-70.72,13052.666629394418
-33.47,-70.71,11732.6383155316
-33.47,-70.7,16361.719339207048
-33.47,-70.69,10434.035968757513
-33.47,-70.68,4191.0118451452345
-33.47,-70.67,7292.276550020188
-33.47,-70.66,3005.074448737581
-33.47,-70.65,7082.107886964473
-33.47,-70.64,6359.858420565327
-33.47,-70.63,7295.374486654599
-33.47,-70.61,7387.547388588074
-33.47,-70.6,8581.731711567403
-33.47,-70.59,12103.164528393818
-33.47,-70.58,17514.549864983877
-33.47,-70.56,20492.11467493388
-33.47,-70.55,17047.249434208818
-33.47,-70.54,13949.075753004661
-33.47,-70.53,7423.260748737717
-33.47,-70.52,1988.1091909599145
-33.46,-70.84,6476.663544585642
-33.46,-70.76,22349.101904851403
-33.46,-70.75,24324.960697485873
-33.46,-70.74,17119.928395067775
-33.46,-70.73,7014.147917573562
-33.46,-70.72,10054.457493312286
-33.46,-70.71,9939.911473220305
-33.46,-70.7,11172.087446962869
-33.46,-70.69,7282.280008206209
-33.46,-70.68,3908.3560361784193
-33.46,-70.67,6927.045536294024
-33.46,-70.66,5723.877739220333
-33.46,-70.65,12448.429936278582
-33.46,-70.64,10837.35631803157
-33.46,-70.63,11601.776511038111
-33.46,-70.62,15583.488629351717
-33.46,-70.61,11009.810514092082
-33.46,-70.6,16757.79493680144
-33.46,-70.59,9305.908270161368
-33.46,-70.58,11953.93752141811
-33.46,-70.57,9802.697415762206
-33.46,-70.56,10429.472671781683
-33.46,-70.55,6638.718236438235
-33.46,-70.54,7993.2910790936585
-33.46,-70.53,6149.111380962785
-33.46,-70.52,1243.5613367859826
-33.45,-70.86,2225.820847289713
-33.45,-70.79,0.05300476433977694
-33.45,-70.77,6529.90362132624
-33.45,-70.76,18991.100244900044
-33.45,-70.75,12318.816185217536
-33.45,-70.74,13895.9934197856
-33.45,-70.73,11986.648132921466
-33.45,-70.72,15805.821474607943
-33.45,-70.71,13277.392312823802
-33.45,-70.7,8009.69672849414
-33.45,-70.69,9232.479655430994
-33.45,-70.68,7290.125884697337
-33.45,-70.67,15865.353769099258
-33.45,-70.66,15566.1851319509
-33.45,-70.65,31299.561863257804
-33.45,-70.64,26288.562139066362
-33.45,-70.63,12230.066320698537
-33.45,-70.62,16048.207456245744
-33.45,-70.61,11838.080920302005
-33.45,-70.6,18368.632636376457
-33.45,-70.59,11878.00165390846
-33.45,-70.58,12312.84731736717
-33.45,-70.57,8734.249105299572
-33.45,-70.56,6981.191472113309
-33.45,-70.55,5256.0657407853405
-33.45,-70.54,6737.967206041386
-33.45,-70.53,4759.285793005795
